subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s002,2,5,0.08,0.24,0.16,0.08,0.08,0.0,0.08,0.08,0.0,0.08,0.64,0.56,0.08,0.48,0.4,0.08,0.16,0.08,0.08,0.08,0.0,0.16,0.16,0.0,0.0,0.08,0.08,0.08,0.24,0.16,0.08
s002,2,6,0.08,0.08,0.0,0.08,0.16,0.08,0.0,0.24,0.24,0.08,0.88,0.8,0.0,0.4,0.4,0.16,0.16,0.0,0.16,0.16,0.0,0.08,0.08,0.0,0.08,0.24,0.16,0.08,0.24,0.16,0.08
s002,2,7,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.64,0.56,0.16,0.48,0.32,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.24,0.16,0.08,0.4,0.32,0.0
s002,2,8,0.16,0.24,0.08,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.8,0.72,0.08,0.72,0.64,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.08,0.0,0.0,0.16,0.16,0.16,0.32,0.16,0.08
s002,2,9,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.16,0.08,0.16,0.72,0.56,0.08,0.4,0.32,0.16,0.24,0.08,0.08,0.08,0.0,0.08,0.24,0.16,0.08,0.16,0.08,0.16,0.32,0.16,0.08
s002,2,10,0.08,0.16,0.08,0.16,0.24,0.08,0.0,0.08,0.08,0.08,0.48,0.4,0.16,0.8,0.64,0.08,0.16,0.08,0.08,0.48,0.4,0.16,0.32,0.16,0.08,0.32,0.24,0.0,0.24,0.24,0.08
s002,2,11,0.16,0.24,0.08,0.08,0.24,0.16,0.08,0.16,0.08,0.08,0.8,0.72,0.08,0.48,0.4,0.08,0.16,0.08,0.08,0.16,0.08,0.16,0.24,0.08,0.08,0.16,0.08,0.08,0.24,0.16,0.16
s002,2,12,0.08,0.24,0.16,0.08,0.16,0.08,0.0,0.16,0.16,0.0,0.48,0.48,0.16,0.56,0.4,0.08,0.32,0.24,0.0,0.32,0.32,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.24,0.16,0.16
s002,2,13,0.08,0.24,0.16,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.88,0.8,0.08,0.48,0.4,0.08,0.16,0.08,0.08,0.24,0.16,0.16,0.24,0.08,0.08,0.16,0.08,0.08,0.32,0.24,0.0
s002,2,14,0.0,0.16,0.16,0.08,0.16,0.08,0.0,0.16,0.16,0.08,1.44,1.36,0.08,0.48,0.4,0.08,0.16,0.08,0.16,0.24,0.08,0.08,0.16,0.08,0.0,0.16,0.16,0.16,0.32,0.16,0.08
s002,2,15,0.16,0.24,0.08,0.08,0.08,0.0,0.08,0.24,0.16,0.08,0.64,0.56,0.08,0.56,0.48,0.08,0.32,0.24,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.24,0.16,0.08,0.16,0.08,0.08
s002,2,16,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.08,0.0,0.16,0.88,0.72,0.08,0.48,0.4,0.08,0.16,0.08,0.08,0.24,0.16,0.08,0.08,0.0,0.08,0.24,0.16,0.08,0.24,0.16,0.0
s002,2,17,0.08,0.24,0.16,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.64,0.56,0.08,0.56,0.48,0.08,0.32,0.24,0.16,0.24,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.16,0.24,0.08,0.08
s002,2,18,0.16,0.24,0.08,0.08,0.08,0.0,0.16,0.16,0.0,0.16,0.88,0.72,0.08,0.64,0.56,0.08,0.4,0.32,0.08,0.4,0.32,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.24,0.16,0.08
s002,2,19,0.08,0.24,0.16,0.16,0.16,0.0,0.08,0.16,0.08,0.16,0.96,0.8,0.0,0.4,0.4,0.08,0.32,0.24,0.08,0.24,0.16,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.32,0.24,0.16
s002,2,20,0.08,0.16,0.08,0.08,0.16,0.08,0.0,0.08,0.08,0.16,0.88,0.72,0.0,0.4,0.4,0.08,0.32,0.24,0.08,0.16,0.08,0.16,0.16,0.0,0.0,0.08,0.08,0.16,0.32,0.16,0.0
s002,2,21,0.16,0.16,0.0,0.16,0.16,0.0,0.08,0.24,0.16,0.0,0.64,0.64,0.08,0.4,0.32,0.16,0.24,0.08,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.24,0.16,0.08,0.16,0.08,0.16
s002,2,22,0.16,0.24,0.08,0.0,0.08,0.08,0.0,0.16,0.16,0.0,0.48,0.48,0.08,0.48,0.4,0.0,0.16,0.16,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.16,0.08,0.0,0.16,0.16,0.08
s002,2,23,0.16,0.24,0.08,0.16,0.24,0.08,0.08,0.16,0.08,0.08,0.8,0.72,0.08,0.4,0.32,0.08,0.24,0.16,0.0,0.08,0.08,0.08,0.16,0.08,0.0,0.16,0.16,0.08,0.24,0.16,0.08
s002,2,24,0.0,0.16,0.16,0.08,0.16,0.08,0.0,0.16,0.16,0.0,0.48,0.48,0.16,0.4,0.24,0.08,0.24,0.16,0.16,0.16,0.0,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.24,0.16,0.08
s002,2,25,0.16,0.16,0.0,0.16,0.24,0.08,0.0,0.08,0.08,0.08,0.56,0.48,0.08,0.4,0.32,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.0,0.08,0.08,0.08,0.24,0.16,0.08
s002,2,26,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.0,0.56,0.56,0.08,0.32,0.24,0.16,0.24,0.08,0.08,0.08,0.0,0.16,0.24,0.08,0.0,0.08,0.08,0.08,1.28,1.2,0.16
s002,2,27,0.16,0.16,0.0,0.16,0.16,0.0,0.08,0.16,0.08,0.16,0.72,0.56,0.08,0.4,0.32,0.08,0.24,0.16,0.08,0.16,0.08,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.24,0.16,0.0
s002,2,28,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.64,0.56,0.08,0.32,0.24,0.16,0.16,0.0,0.16,0.24,0.08,0.0,0.08,0.08,0.08,0.16,0.08,0.08,0.24,0.16,0.08
s002,2,29,0.16,0.24,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.64,0.56,0.0,0.4,0.4,0.16,0.16,0.0,0.08,0.16,0.08,0.16,0.16,0.0,0.0,0.16,0.16,0.08,0.24,0.16,0.08
s002,2,30,0.16,0.24,0.08,0.08,0.08,0.0,0.08,0.16,0.08,0.0,0.48,0.48,0.08,0.48,0.4,0.08,0.24,0.16,0.08,0.08,0.0,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.24,0.16,0.08
s002,2,31,0.08,0.16,0.08,0.0,0.08,0.08,0.08,0.08,0.0,0.16,0.56,0.4,0.16,0.4,0.24,0.16,0.16,0.0,0.08,0.24,0.16,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.16,0.08,0.08
s002,2,32,0.16,0.32,0.16,0.0,0.08,0.08,0.08,0.16,0.08,0.08,0.8,0.72,0.08,0.4,0.32,0.08,0.24,0.16,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.08,0.0,0.16,0.24,0.08,0.16
s002,2,33,0.16,0.24,0.08,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.48,0.4,0.08,0.48,0.4,0.16,0.24,0.08,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.32,0.24,0.0
s002,2,34,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.56,0.48,0.08,0.48,0.4,0.08,0.24,0.16,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.24,0.16,0.08
s002,2,35,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.16,0.08,0.08,0.72,0.64,0.0,0.4,0.4,0.16,0.16,0.0,0.08,0.08,0.0,0.16,0.16,0.0,0.0,0.24,0.24,0.0,0.24,0.24,0.08
s002,2,36,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.24,0.16,0.08,0.8,0.72,0.08,0.4,0.32,0.16,0.4,0.24,0.16,0.16,0.0,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.32,0.24,0.0
s002,2,37,0.08,0.24,0.16,0.0,0.08,0.08,0.08,0.16,0.08,0.08,0.8,0.72,0.0,0.32,0.32,0.16,0.32,0.16,0.08,0.24,0.16,0.16,0.16,0.0,0.0,0.16,0.16,0.08,0.16,0.08,0.16
s002,2,38,0.08,0.16,0.08,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.56,0.48,0.08,0.4,0.32,0.08,0.24,0.16,0.08,0.16,0.08,0.16,0.08,-0.08,0.08,0.24,0.16,0.0,0.24,0.24,0.16
s002,2,39,0.08,0.24,0.16,0.08,0.08,0.0,0.08,0.08,0.0,0.16,0.56,0.4,0.08,0.4,0.32,0.08,0.24,0.16,0.0,0.16,0.16,0.08,0.16,0.08,0.0,0.16,0.16,0.08,0.24,0.16,0.08
s002,2,40,0.16,0.16,0.0,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.4,0.32,0.08,0.4,0.32,0.16,0.24,0.08,0.08,0.08,0.0,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.16,0.08,0.16
s002,2,41,0.08,0.24,0.16,0.08,0.16,0.08,0.0,0.16,0.16,0.08,0.4,0.32,0.08,0.4,0.32,0.16,0.16,0.0,0.16,0.16,0.0,0.08,0.16,0.08,0.0,0.16,0.16,0.08,0.24,0.16,0.0
s002,2,42,0.16,0.32,0.16,0.08,0.16,0.08,0.08,0.24,0.16,0.08,0.64,0.56,0.16,0.48,0.32,0.16,0.24,0.08,0.08,0.08,0.0,0.16,0.16,0.0,0.08,0.24,0.16,0.08,0.16,0.08,0.08
s002,2,43,0.08,0.16,0.08,0.0,0.08,0.08,0.08,0.16,0.08,0.08,0.48,0.4,0.0,0.96,0.96,0.08,0.24,0.16,0.08,0.08,0.0,0.16,0.08,-0.08,0.16,0.24,0.08,0.08,0.24,0.16,0.08
s002,2,44,0.16,0.16,0.0,0.08,0.16,0.08,0.0,0.08,0.08,0.16,0.48,0.32,0.08,0.4,0.32,0.08,0.08,0.0,0.16,0.16,0.0,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.24,0.16,0.08
s002,2,45,0.0,0.16,0.16,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.48,0.4,0.08,0.4,0.32,0.08,0.16,0.08,0.08,0.24,0.16,0.16,0.16,0.0,0.08,0.16,0.08,0.08,0.24,0.16,0.08
s002,2,46,0.16,0.24,0.08,0.08,0.08,0.0,0.16,0.16,0.0,0.16,0.56,0.4,0.08,0.4,0.32,0.08,0.4,0.32,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.24,0.16,0.08,0.24,0.16,0.08
s002,2,47,0.16,0.16,0.0,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.64,0.56,0.08,0.32,0.24,0.16,0.16,0.0,0.08,0.16,0.08,0.16,0.16,0.0,0.0,0.16,0.16,0.08,0.24,0.16,0.08
s002,2,48,0.08,0.16,0.08,0.16,0.16,0.0,0.0,0.08,0.08,0.16,0.48,0.32,0.16,0.48,0.32,0.08,0.24,0.16,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.24,0.16,0.0,0.4,0.4,0.0
s002,2,49,0.08,0.24,0.16,0.08,0.16,0.08,0.08,0.24,0.16,0.0,0.48,0.48,0.08,0.32,0.24,0.16,0.32,0.16,0.08,0.16,0.08,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.16,0.08,0.08
s002,2,50,0.08,0.08,0.0,0.16,0.24,0.08,0.08,0.08,0.0,0.08,0.56,0.48,0.0,0.32,0.32,0.16,0.32,0.16,0.08,0.16,0.08,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.24,0.16,0.08
s002,3,1,0.08,0.56,0.48,0.0,0.24,0.24,0.08,0.24,0.16,0.08,0.8,0.72,0.08,0.48,0.4,0.16,0.24,0.08,0.08,0.24,0.16,0.08,0.16,0.08,0.0,0.16,0.16,0.08,0.24,0.16,0.08
s002,3,2,0.0,0.16,0.16,0.08,0.08,0.0,0.08,0.16,0.08,0.08,0.8,0.72,0.0,0.48,0.48,0.08,0.16,0.08,0.16,0.16,0.0,0.16,0.16,0.0,0.0,0.16,0.16,0.0,0.24,0.24,0.0
s002,3,3,0.08,0.24,0.16,0.08,0.08,0.0,0.0,0.16,0.16,0.0,0.72,0.72,0.0,0.32,0.32,0.08,0.16,0.08,0.16,0.24,0.08,0.08,0.08,0.0,0.08,0.24,0.16,0.0,0.32,0.32,0.16
